#	CcnonQE cross-section GLoBES upto 10GeV					
#log10E	nue/E	numu/E	numtau/E	nuebar/E	numubar/E	nutaubar/E
-1	0	0	0	0	0	0
-0.996	0	0	0	1.70883835172108E-05	1.70883835172108E-05	0
-0.992	0	0	0	3.43348839003067E-05	3.43348839003067E-05	0
-0.988	0	0	0	0.000051741	0.000051741	0
-0.984	0	0	0	6.93081009510111E-05	6.93081009510111E-05	0
-0.98	0	0	0	8.70377844305204E-05	8.70377844305204E-05	0
-0.976	0	0	0	0.0001049315	0.0001049315	0
-0.972	0	0	0	0.0001229908	0.0001229908	0
-0.968	0	0	0	0.0001412172	0.0001412172	0
-0.964	0	0	0	0.0001596123	0.0001596123	0
-0.96	0	0	0	0.0001781775	0.0001781775	0
-0.956	0	0	0	0.0001969146	0.0001969146	0
-0.952	0	0	0	0.000215825	0.000215825	0
-0.948	0	0	0	0.0002349104	0.0002349104	0
-0.944	0	0	0	0.0002541724	0.0002541724	0
-0.94	0	0	0	0.0002736126	0.0002736126	0
-0.936	0	0	0	0.0002932327	0.0002932327	0
-0.932	0	0	0	0.0003130343	0.0003130343	0
-0.928	0	0	0	0.0003330191	0.0003330191	0
-0.924	0	0	0	0.0003531889	0.0003531889	0
-0.92	0	0	0	0.0003735453	0.0003735453	0
-0.916	0	0	0	0.0003940901	0.0003940901	0
-0.912	0	0	0	0.0004148249	0.0004148249	0
-0.908	0	0	0	0.0004357516	0.0004357516	0
-0.904	0	0	0	0.000456872	0.000456872	0
-0.9	0	0	0	0.0004781877	0.0004781877	0
-0.896	0	0	0	0.0004997007	0.0004997007	0
-0.892	0	0	0	0.0005214128	0.0005214128	0
-0.888	0	0	0	0.0005433258	0.0005433258	0
-0.884	0	0	0	0.0005654415	0.0005654415	0
-0.88	0	0	0	0.0005877618	0.0005877618	0
-0.876	0	0	0	0.0006102887	0.0006102887	0
-0.872	0	0	0	0.000633024	0.000633024	0
-0.868	0	0	0	0.0006559697	0.0006559697	0
-0.864	0	0	0	0.0006791277	0.0006791277	0
-0.86	0	0	0	0.0007025	0.0007025	0
-0.856	0	0	0	0.0007260885	0.0007260885	0
-0.852	0	0	0	0.0007498953	0.0007498953	0
-0.848	0	0	0	0.0007739224	0.0007739224	0
-0.844	0	0	0	0.0007981718	0.0007981718	0
-0.84	0	0	0	0.0008226456	0.0008226456	0
-0.836	0	0	0	0.0004682135	0.0004682135	0
-0.832	0	0	0	-5.62968714381828E-05	-5.62968714381828E-05	0
-0.828	0	0	0	-0.0005856605	-0.0005856605	0
-0.824	0	0	0	-0.0011116814	-0.0011116814	0
-0.82	0	0	0	-0.0010322082	-0.0010322082	0
-0.816	0	0	0	-0.0009519997	-0.0009519997	0
-0.812	0	0	0	-0.0008710491	-0.0008710491	0
-0.808	0	0	0	-0.0007893494	-0.0007893494	0
-0.804	0	0	0	-0.0007068938	-0.0007068938	0
-0.8	0	0	0	-0.0006236752	-0.0006236752	0
-0.796	0	0	0	-0.0005396866	-0.0005396866	0
-0.792	0	0	0	-0.0004549208	-0.0004549208	0
-0.788	0	0	0	-0.0003693708	-0.0003693708	0
-0.784	0	0	0	-0.0002830291	-0.0002830291	0
-0.78	0	0	0	-0.0001958885	-0.0001958885	0
-0.776	0	0	0	-0.0001079417	-0.0001079417	0
-0.772	0	0	0	-0.000019181	-0.000019181	0
-0.768	0	0	0	7.04008796576089E-05	7.04008796576089E-05	0
-0.764	0	0	0	0.0001608117	0.0001608117	0
-0.76	0	0	0	0.0002520591	0.0002520591	0
-0.756	0	0	0	0.0003441507	0.0003441507	0
-0.752	0	0	0	0.0004370945	0.0004370945	0
-0.748	0	0	0	0.0005308983	0.0005308983	0
-0.744	0	0	0	0.0006255701	0.0006255701	0
-0.74	0	0	0	0.0007211178	0.0007211178	0
-0.736	0	0	0	0.0008175496	0.0008175496	0
-0.732	0	0	0	0.0009148737	0.0009148737	0
-0.728	0	0	0	0.0010130983	0.0010130983	0
-0.724	0	0	0	0.0011122318	0.0011122318	0
-0.72	0	0	0	0.0010588477	0.0010588477	0
-0.716	0	0	0	0.0007411073	0.0007411073	0
-0.712	0	0	0	0.0004204268	0.0004204268	0
-0.708	0	0	0	9.67791748048008E-05	9.67791748048008E-05	0
-0.704	0	0	0	-0.0002298632	-0.0002298632	0
-0.7	0	0	0	-0.0005595279	-0.0005595279	0
-0.696	7.79523466002407E-05	7.79523466002407E-05	0	-0.0004876321	-0.0004876321	0
-0.692	0.0001765969	0.0001765969	0	-0.0003114121	-0.0003114121	0
-0.688	0.0002761543	0.0002761543	0	-0.0001335616	-0.0001335616	0
-0.684	0.0003766328	0.0003766328	0	4.59346249564591E-05	4.59346249564591E-05	0
-0.68	0.000478041	0.000478041	0	0.0002270917	0.0002270917	0
-0.676	0.0005803876	0.0005803876	0	0.0004099249	0.0004099249	0
-0.672	0.0006836811	0.0006836811	0	0.0005944499	0.0005944499	0
-0.668	0.0007879304	0.0007879304	0	0.0007806823	0.0007806823	0
-0.664	0.0008931444	0.0008931444	0	0.0009686379	0.0009686379	0
-0.66	0.0009993318	0.0009993318	0	0.0011583326	0.0011583326	0
-0.656	0.0011065018	0.0011065018	0	0.0013497825	0.0013497825	0
-0.652	0.0012146635	0.0012146635	0	0.0015430039	0.0015430039	0
-0.648	0.0013238259	0.0013238259	0	0.0017380131	0.0017380131	0
-0.644	0.0014339984	0.0014339984	0	0.0019348268	0.0019348268	0
-0.64	0.0015451903	0.0015451903	0	0.0021334615	0.0021334615	0
-0.636	0.0016574111	0.0016574111	0	0.0023339342	0.0023339342	0
-0.632	0.0017706702	0.0017706702	0	0.0025362619	0.0025362619	0
-0.628	0.0018849773	0.0018849773	0	0.0026487801	0.0026487801	0
-0.624	0.0020003421	0.0020003421	0	0.0025498233	0.0025498233	0
-0.62	0.0021167743	0.0021167743	0	0.002449951	0.002449951	0
-0.616	0.0022342839	0.0022342839	0	0.0023491545	0.0023491545	0
-0.612	0.0023528808	0.0023528808	0	0.0022474253	0.0022474253	0
-0.608	0.002472575	0.002472575	0	0.0021447549	0.0021447549	0
-0.604	0.0025933768	0.0025933768	0	0.0020411345	0.0020411345	0
-0.6	0.0027442761	0.0027442761	0	0.0021570196	0.0021570196	0
-0.596	0.0029176399	0.0029176399	0	0.002434254	0.002434254	0
-0.592	0.0030926078	0.0030926078	0	0.0027140537	0.0027140537	0
-0.588	0.0032691947	0.0032691947	0	0.0029964423	0.0029964423	0
-0.584	0.0034474155	0.0034474155	0	0.0032814438	0.0032814438	0
-0.58	0.0036272854	0.0036272854	0	0.0035690824	0.0035690824	0
-0.576	0.0038088196	0.0038088196	0	0.0038593825	0.0038593825	0
-0.572	0.0039920335	0.0039920335	0	0.0041523687	0.0041523687	0
-0.568	0.0041769427	0.0041769427	0	0.0044480659	0.0044480659	0
-0.564	0.0043635628	0.0043635628	0	0.0047464991	0.0047464991	0
-0.56	0.0045519097	0.0045519097	0	0.0050476937	0.0050476937	0
-0.556	0.0047419993	0.0047419993	0	0.0053516752	0.0053516752	0
-0.552	0.0049338478	0.0049338478	0	0.005581396	0.005581396	0
-0.548	0.0051274715	0.0051274715	0	0.0056218874	0.0056218874	0
-0.544	0.0053228867	0.0053228867	0	0.0056627534	0.0056627534	0
-0.54	0.0055201101	0.0055201101	0	0.0057039976	0.0057039976	0
-0.536	0.0057191584	0.0057191584	0	0.0057456234	0.0057456234	0
-0.532	0.0059200485	0.0059200485	0	0.0057876344	0.0057876344	0
-0.528	0.0061227974	0.0061227974	0	0.0058300341	0.0058300341	0
-0.524	0.0063274222	0.0063274222	0	0.0058728261	0.0058728261	0
-0.52	0.0065303103	0.0065303103	0	0.0061347737	0.0061347737	0
-0.516	0.0067341185	0.0067341185	0	0.0064568297	0.0064568297	0
-0.512	0.0069398124	0.0069398124	0	0.0067818657	0.0067818657	0
-0.508	0.0071474097	0.0071474097	0	0.0071099091	0.0071099091	0
-0.504	0.0073569278	0.0073569278	0	0.0074409879	0.0074409879	0
-0.5	0.0075683845	0.0075683845	0	0.0077751302	0.0077751302	0
-0.496	0.0077817978	0.0077817978	0	0.0081123642	0.0081123642	0
-0.492	0.0079971859	0.0079971859	0	0.0084527186	0.0084527186	0
-0.488	0.0082145668	0.0082145668	0	0.0087724399	0.0087724399	0
-0.484	0.0084339592	0.0084339592	0	0.0089070322	0.0089070322	0
-0.48	0.0086553816	0.0086553816	0	0.0090428698	0.0090428698	0
-0.476	0.0088788528	0.0088788528	0	0.0091799642	0.0091799642	0
-0.472	0.0091043917	0.0091043917	0	0.0093183272	0.0093183272	0
-0.468	0.0093320176	0.0093320176	0	0.0094579705	0.0094579705	0
-0.464	0.0095617496	0.0095617496	0	0.0095989059	0.0095989059	0
-0.46	0.0097936073	0.0097936073	0	0.0097411453	0.0097411453	0
-0.456	0.0100672798	0.0100672798	0	0.0098961537	0.0098961537	0
-0.452	0.0109616005	0.0109616005	0	0.0102310518	0.0102310518	0
-0.448	0.0118641963	0.0118641963	0	0.0105690487	0.0105690487	0
-0.444	0.0127751437	0.0127751437	0	0.0109101729	0.0109101729	0
-0.44	0.01369452	0.01369452	0	0.0112544536	0.0112544536	0
-0.436	0.0146224032	0.0146224032	0	0.0116019199	0.0116019199	0
-0.432	0.015558872	0.015558872	0	0.0119525038	0.0119525038	0
-0.428	0.0165040058	0.0165040058	0	0.0123038305	0.0123038305	0
-0.424	0.0174578848	0.0174578848	0	0.0126584079	0.0126584079	0
-0.42	0.01842059	0.01842059	0	0.0130162662	0.0130162662	0
-0.416	0.019392203	0.019392203	0	0.0133774357	0.0133774357	0
-0.412	0.0203728062	0.0203728062	0	0.0137419471	0.0137419471	0
-0.408	0.0213624828	0.0213624828	0	0.0141098313	0.0141098313	0
-0.404	0.0223613167	0.0223613167	0	0.0144811194	0.0144811194	0
-0.4	0.0233693928	0.0233693928	0	0.0148558431	0.0148558431	0
-0.396	0.0252439875	0.0252439875	0	0.0153123243	0.0153123243	0
-0.392	0.0277949985	0.0277949985	0	0.0158332247	0.0158332247	0
-0.388	0.0303696137	0.0303696137	0	0.0163589448	0.0163589448	0
-0.384	0.0329680515	0.0329680515	0	0.0168895294	0.0168895294	0
-0.38	0.0355905324	0.0355905324	0	0.0174531309	0.0174531309	0
-0.376	0.0382372788	0.0382372788	0	0.0180424299	0.0180424299	0
-0.372	0.0409085153	0.0409085153	0	0.0186371817	0.0186371817	0
-0.368	0.0436044684	0.0436044684	0	0.0192374366	0.0192374366	0
-0.364	0.0463253668	0.0463253668	0	0.0198432457	0.0198432457	0
-0.36	0.0490714414	0.0490714414	0	0.0204546602	0.0204546602	0
-0.356	0.0518429251	0.0518429251	0	0.021071732	0.021071732	0
-0.352	0.0546400531	0.0546400531	0	0.0216945136	0.0216945136	0
-0.348	0.0574630625	0.0574630625	0	0.0223230577	0.0223230577	0
-0.344	0.0603099617	0.0603099617	0	0.0230466469	0.0230466469	0
-0.34	0.0631825758	0.0631825758	0	0.023802016	0.023802016	0
-0.336	0.0660817697	0.0660817697	0	0.0244872266	0.0244872266	0
-0.332	0.0690077896	0.0690077896	0	0.025064911	0.025064911	0
-0.328	0.0719608837	0.0719608837	0	0.0256479406	0.0256479406	0
-0.324	0.0749413023	0.0749413023	0	0.0262363648	0.0262363648	0
-0.32	0.0779492985	0.0779492985	0	0.0268302338	0.0268302338	0
-0.316	0.0809851273	0.0809851273	0	0.0274295977	0.0274295977	0
-0.312	0.0840490462	0.0840490462	0	0.0280345074	0.0280345074	0
-0.308	0.0871413153	0.0871413153	0	0.0286450144	0.0286450144	0
-0.304	0.0902621968	0.0902621968	0	0.0292611702	0.0292611702	0
-0.3	0.0938415442	0.0938415442	0	0.0299212944	0.0299212944	0
-0.296	0.0982755789	0.0982755789	0	0.030683304	0.030683304	0
-0.292	0.1027506413	0.1027506413	0	0.0315125206	0.0315125206	0
-0.288	0.1072671109	0.1072671109	0	0.0323494099	0.0323494099	0
-0.284	0.1118253708	0.1118253708	0	0.0331940428	0.0331940428	0
-0.28	0.1164258078	0.1164258078	0	0.034046491	0.034046491	0
-0.276	0.1210688122	0.1210688122	0	0.0349068269	0.0349068269	0
-0.272	0.1257547777	0.1257547777	0	0.0357751233	0.0357751233	0
-0.268	0.130484102	0.130484102	0	0.0366514539	0.0366514539	0
-0.264	0.1352571861	0.1352571861	0	0.0375358932	0.0375358932	0
-0.26	0.140074435	0.140074435	0	0.0384269894	0.0384269894	0
-0.256	0.1444583764	0.1444583764	0	0.0392346315	0.0392346315	0
-0.252	0.1488820148	0.1488820148	0	0.0400499219	0.0400499219	0
-0.248	0.1533465845	0.1533465845	0	0.0408727562	0.0408727562	0
-0.244	0.1578524644	0.1578524644	0	0.0417032041	0.0417032041	0
-0.24	0.1624000367	0.1624000367	0	0.042541336	0.042541336	0
-0.236	0.1669896872	0.1669896872	0	0.043387223	0.043387223	0
-0.232	0.1716218052	0.1716218052	0	0.0442409369	0.0442409369	0
-0.228	0.1762967836	0.1762967836	0	0.0451025502	0.0451025502	0
-0.224	0.1810150191	0.1810150191	0	0.0459165397	0.0459165397	0
-0.22	0.185443016	0.185443016	0	0.0467210016	0.0467210016	0
-0.216	0.1896405191	0.1896405191	0	0.0475700046	0.0475700046	0
-0.212	0.1938768612	0.1938768612	0	0.0484268633	0.0484268633	0
-0.208	0.1981524017	0.1981524017	0	0.0492916505	0.0492916505	0
-0.204	0.2024675034	0.2024675034	0	0.0501644394	0.0501644394	0
-0.2	0.2068225321	0.2068225321	0	0.0510453041	0.0510453041	0
-0.196	0.2112178574	0.2112178574	0	0.0519343194	0.0519343194	0
-0.192	0.2156538522	0.2156538522	0	0.0527775481	0.0527775481	0
-0.188	0.2201308927	0.2201308927	0	0.0535853954	0.0535853954	0
-0.184	0.2242018864	0.2242018864	0	0.054474094	0.054474094	0
-0.18	0.2282395288	0.2282395288	0	0.0553826615	0.0553826615	0
-0.176	0.2323145311	0.2323145311	0	0.0562996358	0.0562996358	0
-0.172	0.236427239	0.236427239	0	0.0572250947	0.0572250947	0
-0.168	0.2405780012	0.2405780012	0	0.0581591169	0.0581591169	0
-0.164	0.24476717	0.24476717	0	0.0590762699	0.0590762699	0
-0.16	0.2489951006	0.2489951006	0	0.0598854947	0.0598854947	0
-0.156	0.2532621519	0.2532621519	0	0.0607022071	0.0607022071	0
-0.152	0.2572029918	0.2572029918	0	0.0615930819	0.0615930819	0
-0.148	0.2610988812	0.2610988812	0	0.0625070283	0.0625070283	0
-0.144	0.2650308188	0.2650308188	0	0.0634294314	0.0634294314	0
-0.14	0.2689991381	0.2689991381	0	0.0643603693	0.0643603693	0
-0.136	0.2730041759	0.2730041759	0	0.0652775245	0.0652775245	0
-0.132	0.2770462719	0.2770462719	0	0.0661433826	0.0661433826	0
-0.128	0.2811257689	0.2811257689	0	0.0670172525	0.0670172525	0
-0.124	0.2850644664	0.2850644664	0	0.0679192381	0.0679192381	0
-0.12	0.2886734838	0.2886734838	0	0.0688706429	0.0688706429	0
-0.116	0.292315895	0.292315895	0	0.0698308509	0.0698308509	0
-0.112	0.295992009	0.295992009	0	0.0707999435	0.0707999435	0
-0.108	0.2997021377	0.2997021377	0	0.0717416164	0.0717416164	0
-0.104	0.3034465958	0.3034465958	0	0.072681674	0.072681674	0
-0.1	0.307225701	0.307225701	0	0.0736304299	0.0736304299	0
-0.096	0.3109370334	0.3109370334	0	0.0746048285	0.0746048285	0
-0.092	0.3144659219	0.3144659219	0	0.0756238266	0.0756238266	0
-0.088	0.3180274628	0.3180274628	0	0.0766522534	0.0766522534	0
-0.084	0.3216219583	0.3216219583	0	0.0776522257	0.0776522257	0
-0.08	0.3252497132	0.3252497132	0	0.0786411369	0.0786411369	0
-0.076	0.3289110353	0.3289110353	0	0.0796391983	0.0796391983	0
-0.072	0.3326062352	0.3326062352	0	0.0806464947	0.0806464947	0
-0.068	0.3361891568	0.3361891568	0	0.0817022783	0.0817022783	0
-0.064	0.3397538293	0.3397538293	0	0.082781576	0.082781576	0
-0.06	0.3433514852	0.3433514852	0	0.0840032162	0.0840032162	0
-0.056	0.3469824298	0.3469824298	0	0.0852591264	0.0852591264	0
-0.052	0.3506469712	0.3506469712	0	0.0865266574	0.0865266574	0
-0.048	0.3543454201	0.3543454201	0	0.0878059168	0.0878059168	0
-0.044	0.3579443552	0.3579443552	0	0.0891214311	0.0891214311	0
-0.04	0.3614602509	0.3614602509	0	0.090487173	0.090487173	0
-0.036	0.3650086788	0.3650086788	0	0.0918973262	0.0918973262	0
-0.032	0.3685899398	0.3685899398	0	0.0933205273	0.0933205273	0
-0.028	0.3722043379	0.3722043379	0	0.0947568972	0.0947568972	0
-0.024	0.3758521796	0.3758521796	0	0.0962065576	0.0962065576	0
-0.02	0.3793782105	0.3793782105	0	0.0976821051	0.0976821051	0
-0.016	0.382858593	0.382858593	0	0.0991088311	0.0991088311	0
-0.012	0.3863711791	0.3863711791	0	0.1005487584	0.1005487584	0
-0.008	0.3899162667	0.3899162667	0	0.1020020092	0.1020020092	0
-0.004	0.3934941567	0.3934941567	0	0.1034687068	0.1034687068	0
0	0.3970648532	0.3970648532	0	0.1049610846	0.1049610846	0
0.004	0.4002949455	0.4002949455	0	0.1065720849	0.1065720849	0
0.008	0.4035549254	0.4035549254	0	0.1081979916	0.1081979916	0
0.012	0.4068450695	0.4068450695	0	0.1098389426	0.1098389426	0
0.016	0.410165657	0.410165657	0	0.1114950772	0.1114950772	0
0.02	0.4135169695	0.4135169695	0	0.1131564077	0.1131564077	0
0.024	0.416697382	0.416697382	0	0.1148228234	0.1148228234	0
0.028	0.419856814	0.419856814	0	0.1165072457	0.1165072457	0
0.032	0.4230454799	0.4230454799	0	0.1182072537	0.1182072537	0
0.036	0.4262636501	0.4262636501	0	0.1199229917	0.1199229917	0
0.04	0.4295115976	0.4295115976	0	0.1216562083	0.1216562083	0
0.044	0.4327112887	0.4327112887	0	0.1234135354	0.1234135354	0
0.048	0.4359144431	0.4359144431	0	0.1251896416	0.1251896416	0
0.052	0.439147236	0.439147236	0	0.1269821819	0.1269821819	0
0.056	0.4424099416	0.4424099416	0	0.128760476	0.128760476	0
0.06	0.4457028366	0.4457028366	0	0.1305004199	0.1305004199	0
0.064	0.4488633317	0.4488633317	0	0.1322807366	0.1322807366	0
